年月別_Year_and_onth,工業及服務業__Industry_and_services,工業_Industrial,礦業及土石採取業_Mining_and_quarrying,製造業_Manufacturing,電力及燃氣供應業_Electricity_and_gas_supply,用水供應及污染整治業_Water_supply_and_remediation_activities,營建工程業_Construction,服務業_Services,批發及零售業_Wholesale_and_retail_trade,運輸及倉儲業_Transportation_and_storage,住宿及餐飲業_Accommodation_and_food_service_activities,出版_影音製作_傳播及資通訊服務業_Information_and_communication,金融及保險業_Financial_and_insurance_activities,不動產業_Real_estate_activities,專業科學及技術服務業_Professional_scientific_and_technical_activities,支援服務業_Support_service_activities,教育業_Education,醫療保健_Human_health_activities,藝術_娛樂及休閒服務業_Arts_entertainment_and_recreation,其他服務業_Other_service_activities
1980,8843,8206,11549,8035,14944,9103,8309,10174,9274,10586,7358,13708,14103,17961,10898,10354,-,12724,8218,8313
198001,8016,7606,11403,7483,12550,7827,7475,8848,7549,9862,6537,12550,11551,17931,10095,9747,-,11749,8512,7892
198002,10393,9548,8490,9889,13598,10980,7482,12117,11639,11231,11158,16384,14825,19195,13503,11700,-,15261,8852,9971
198003,7902,7284,10124,7092,13172,8121,7641,9182,7894,10094,6780,12770,13154,17251,9866,9545,-,12100,8466,7801
198004,7987,7454,11051,7210,14721,8315,7903,9093,7856,9676,6566,12789,12834,17353,10204,9832,-,11964,8675,7914
198005,8169,7686,11224,7473,12810,8565,8086,9164,8058,9730,6498,12683,12042,17412,10677,9908,-,12057,8223,8078
198006,8393,7921,12256,7682,13750,8690,8294,9379,8313,9822,6701,12561,13286,19468,10109,9882,-,11907,7780,8034
198007,8734,8129,12200,7882,16545,9184,8483,10034,8755,11358,6886,14236,13750,17376,10695,10119,-,12773,8030,8224
198008,8866,8211,12054,7960,16008,9355,8629,10271,9252,10759,8215,14155,14141,17274,10768,10420,-,12893,8133,8312
198009,9066,8355,11919,8144,16067,9673,8581,10565,9859,10936,7118,14140,14601,17460,10979,10572,-,13260,7976,8416
198010,9206,8544,13023,8321,16033,9373,8737,10600,10063,10933,7236,14069,13972,17531,10801,10448,-,12899,8094,8434
198011,9292,8617,12744,8417,16136,9533,8721,10708,10194,11001,7284,13918,14809,17580,10813,10395,-,12888,7517,8258
198012,10035,9069,12058,8866,17649,9580,9286,12041,11702,11621,7301,14193,19903,19742,12232,11628,-,12892,8443,8420
1981,10677,9915,14751,9556,19157,10800,10764,12186,11488,12697,8501,15999,17467,18724,12458,11401,-,14502,10033,8462
198101,11270,10343,15297,10375,17267,11669,9182,13217,12356,14567,9960,15096,20507,19031,12884,11630,-,14428,9234,8289
198102,10887,9594,17388,9238,17655,11365,10037,13430,13836,12845,8386,17918,16161,19546,14216,12423,-,14249,9862,8695
198103,9745,9146,13589,8746,17248,10087,10294,10914,9775,11746,7896,15393,15312,17929,11492,10817,-,14564,10538,8050
198104,9998,9389,13656,9030,17062,10725,10323,11201,10390,11789,7939,15519,15122,18035,11529,10735,-,14538,9683,8198
198105,10222,9635,13883,9278,16809,10363,10609,11373,10588,11952,7987,15326,15553,18131,11752,10903,-,14622,9969,8294
198106,10335,9629,13459,9207,16448,10445,11045,11720,11030,11983,7982,15465,16648,20110,11971,11045,-,14640,10177,8407
198107,10542,9852,14217,9383,27018,10334,11019,11922,11075,12587,8480,16302,17199,18103,11957,11088,-,14709,9874,8423
198108,10684,9979,14660,9590,19787,10423,11089,12082,11219,12967,8576,16293,17211,18067,12153,11183,-,14747,9845,8534
198109,10941,10173,14316,9816,19871,11374,11120,12453,11938,12685,8685,16216,18018,18231,12389,11305,-,14490,10066,8639
198110,10921,10310,15200,9903,20577,10902,11443,12120,11218,13068,8703,16155,17010,18124,12535,11444,-,14409,10548,8617
198111,10895,10282,15157,9877,19788,10951,11476,12098,11322,12634,8626,16043,17331,18103,12441,11404,-,14387,10045,8612
198112,11652,10597,16283,10167,19974,10984,11806,13734,13191,13509,8813,16195,23348,21257,14226,12835,-,14237,10532,8758
1982,11473,10772,15198,10456,20612,12191,11415,12803,11728,13958,8730,16190,19269,20574,13991,13109,-,13360,8943,9446
198201,13581,12241,17287,12100,21187,13560,11805,16180,16207,17138,10559,17994,21565,22024,16395,13472,-,16159,13613,10890
198202,11149,10544,13818,10267,20668,11008,11120,12301,10935,13891,8660,17457,18598,20266,13321,12240,-,13016,8087,8985
198203,11017,10421,15591,10044,20421,11776,11299,12155,11093,13209,8619,16341,17768,20005,13183,12520,-,13016,8272,9124
198204,11043,10454,15922,10045,20299,11549,11477,12168,11005,13267,8766,15891,17965,20182,13566,12982,-,13067,8549,9251
198205,11163,10612,15023,10227,20788,11816,11627,12202,11194,13239,8423,15687,17474,20737,13669,12749,-,13062,8555,9302
198206,11341,10656,14577,10291,20690,13911,11575,12642,11582,13487,8345,15836,20126,21142,13579,12983,-,13045,8528,9386
198207,11213,10600,14496,10260,20395,11916,11539,12388,11174,13931,8372,15672,18427,19669,13626,13218,-,12984,8637,9420
198208,11166,10558,14505,10237,19486,12084,11393,12325,11180,13474,8469,15964,18321,19913,13669,12839,-,13152,8474,9378
198209,11485,10706,14859,10385,20521,12954,11390,12959,11710,14643,8584,15914,20338,19896,14017,13074,-,13151,8614,9463
198210,11293,10700,15238,10468,21021,12092,10749,12408,11211,13612,8553,15883,18604,19637,13786,13227,-,13105,8600,9382
198211,11248,10663,15190,10346,20714,11816,11306,12335,11228,13486,8639,15732,17449,19499,14211,13292,-,13221,8491,9391
198212,11969,11097,15861,10791,21147,11796,11639,13598,12277,14106,8815,15903,24415,23860,14981,14627,-,13310,8510,9372
1983,12122,11490,14822,11122,21678,12678,12718,13330,12232,14239,9494,16362,19134,21798,15538,12694,-,14119,9871,9829
198301,11827,11158,15607,10905,21281,12977,11406,13085,12154,14200,8935,15813,18960,19440,14973,13416,-,12845,8460,9817
198302,12598,11236,12404,10911,21509,13414,12354,15167,14193,16335,9955,19461,20009,23471,17801,13418,-,17641,10843,10804
198303,11721,11031,14355,10748,20394,12506,11682,13016,12169,13883,9330,16017,18551,19428,14749,12251,-,13113,9613,9294
198304,11631,11100,14259,10807,19653,11965,11962,12626,11618,13471,9255,16088,17737,19369,14674,11981,-,13208,9456,9348
198305,11856,11408,14392,11036,20611,12104,12704,12705,11799,13464,9311,15918,17598,19441,14874,12220,-,12945,9282,9487
198306,12182,11535,14331,11075,26153,14336,12907,13428,11942,14507,9453,16213,20837,31118,14979,12494,-,14653,9257,9601
198307,11914,11450,14916,11052,20405,12306,12956,12813,11810,13597,9672,15814,18316,19855,14849,12848,-,13316,9538,9771
198308,12051,11608,14987,11221,20376,12230,13165,12917,11739,13711,9459,16109,18517,19983,15548,12861,-,13615,9836,9881
198309,12446,11795,15045,11354,26867,13220,13187,13701,12267,15394,9696,16353,19949,20641,16094,12214,-,14820,11696,9955
198310,12167,11694,15342,11319,20855,12415,13117,13076,11965,13887,9496,16239,18173,20567,15674,12325,-,13835,10052,9996
198311,12113,11629,15827,11216,20525,12290,13241,13043,11946,13824,9518,16082,18061,20321,15869,12594,-,13956,9641,9753
198312,12908,12139,16558,11727,21492,12380,13731,14389,13196,14612,9840,16270,22641,27722,16436,13675,-,15438,10883,10217
1984,13410,12545,15773,12153,25503,13102,14122,15115,14419,15184,10631,18111,21505,22150,17188,13638,-,16683,10277,10235
198401,15370,13714,17986,13401,21667,17705,14653,18549,19024,18159,11425,17030,23747,27317,22134,15344,-,19362,14727,12617
198402,12648,11554,12961,11109,21145,13091,13950,14736,13488,16179,9618,21325,20006,22406,15981,13007,-,16320,10179,10525
198403,12898,12227,16049,11844,21863,13024,13896,14212,14016,13693,9845,17267,19404,21387,16267,12603,-,14711,10016,9473
198404,12931,12256,15676,11878,21083,12193,14015,14261,13767,13916,10304,16785,20358,21666,16333,13145,-,14760,9944,9979
198405,13254,12478,16318,12164,20930,11714,13794,14788,14242,14979,10233,16965,20533,21516,16954,13021,-,16721,10103,9954
198406,13279,12346,15218,11933,26820,14492,13927,15128,14121,16310,10558,19905,21301,21341,16903,13091,-,15870,10109,10030
198407,13296,12628,15018,12094,44876,11722,14056,14652,13925,14509,10696,17401,21417,21847,16600,13507,-,15966,9889,9947
198408,13199,12450,15011,12102,22460,12142,14142,14697,14009,14254,10679,17367,21488,21317,16685,13815,-,16740,10048,9964
198409,13563,12499,15887,12079,29210,14768,13996,15677,14528,16020,11330,20667,23164,22234,17094,13986,-,18501,9580,10047
198410,13290,12609,16349,12272,22126,12103,14062,14638,13791,14252,11073,17444,21270,20901,17144,13865,-,16750,9351,10070
198411,13305,12590,16280,12219,22334,12223,14290,14710,13882,14797,10818,17634,20770,21711,17010,13999,-,16518,9376,10050
198412,13891,13156,16521,12733,31551,12147,14628,15339,14183,15219,10942,17530,24394,22353,17248,14216,-,17875,10180,10298
1985,13981,13100,16322,12678,29007,13977,14763,15716,14413,16527,10619,20481,23247,23135,17890,14452,-,17583,10076,10351
198501,13702,13079,17739,12814,23133,12134,13885,14930,13441,16059,10984,19936,22765,20644,16868,14262,-,15584,10531,9926
198502,15745,14201,14710,13322,34581,21150,19081,18771,17410,20764,11895,22065,24827,27685,20677,19041,-,23473,12052,13626
198503,13330,12611,15264,12326,22040,13407,13803,14748,13647,15178,10196,17554,22647,21134,17192,13546,-,15674,9675,10227
198504,13358,12629,16497,12319,23372,12220,13831,14801,13855,15611,10352,17562,21255,20771,17007,13865,-,16101,9740,9683
198505,13437,12729,16799,12423,23075,13018,13869,14844,14122,14924,10254,17523,21455,20814,17064,13600,-,16153,9940,9950
198506,14407,13294,16515,12701,30466,16403,16128,16626,14925,19517,10521,21080,25018,28608,17809,13925,-,17805,10070,10255
198507,14059,13101,16412,12508,51406,12958,14379,15969,13997,15944,10364,34965,22713,21395,17498,13923,-,16601,10061,10118
198508,13521,12773,16551,12391,25706,13394,14323,14998,13752,15777,10521,19032,21936,21311,17386,14362,-,16742,9290,9983
198509,13792,12910,16112,12556,26202,13298,14264,15514,14089,16081,10528,18962,24884,21273,17693,13879,-,17441,10095,10180
198510,13770,13049,16543,12709,25578,13192,14332,15174,13993,15828,10499,18996,22140,22252,17417,13574,-,17285,9959,10037
198511,13767,13100,16209,12750,25844,13115,14473,15074,13805,15727,10612,19021,21851,21764,17583,13503,-,17605,9605,10045
198512,14874,13726,16511,13324,36473,13401,14741,17125,15876,16895,10708,19053,27406,29888,20489,15890,-,20489,9886,10152
1986,15119,14249,17181,13961,28999,15356,15037,16871,15787,17470,10525,23187,24564,22068,18411,15948,-,19142,10869,10323
198601,17384,16434,20825,16245,40060,18999,15473,19257,17814,20715,11145,24963,24577,29322,20036,24147,-,27698,12287,11037
198602,16615,15207,14297,14955,26674,14833,16354,19394,18835,20635,10226,29054,25175,22928,21387,17395,-,20126,12235,11824
198603,14341,13514,16467,13209,25701,14627,14600,15985,15001,16121,11134,19964,24732,20353,17400,14458,-,17321,10393,10047
198604,14315,13513,17159,13216,24963,14571,14536,15919,14768,17145,10592,20262,23432,20410,17198,14448,-,17693,10983,9954
198605,14461,13788,16968,13463,25207,24620,14683,15807,14781,16408,10442,21544,22219,19566,17851,14647,-,18166,10288,9956
198606,14726,13926,16540,13640,25603,14107,15002,16339,15122,16939,10350,21295,25647,22917,17937,14984,-,17693,10500,10043
198607,14952,14037,16883,13528,48210,13608,15232,16828,15086,16098,10616,38010,23339,23005,17615,14552,-,18555,10618,10106
198608,14616,13715,16450,13433,25236,13952,14821,16455,15005,19133,10480,21083,24358,19720,17510,14605,-,17902,10559,10029
198609,14810,14002,16263,13754,26467,13963,14795,16450,15157,16425,10566,21333,25125,20647,18916,15258,-,20163,10647,10181
198610,14717,14030,17103,13770,26198,13800,14881,16114,15337,16267,10407,19983,24062,19815,17687,14511,-,17784,10553,10149
198611,14590,13892,16503,13633,26036,13723,14787,16002,15264,16335,10221,20294,22604,20757,17549,14500,-,18493,10524,10111
198612,15967,14999,20829,14777,27851,13923,15296,17925,17266,17415,10195,20461,29327,25375,19857,17854,-,18510,10818,10446
1987,16497,15565,17863,15335,30242,15752,16045,18338,17196,18390,11151,24686,28054,23788,20483,16288,-,20453,11854,11460
198701,24061,22333,21071,22420,45599,22679,19821,27556,26188,27107,16010,38643,42399,27951,28691,26990,-,32701,15506,15512
198702,14754,13745,15074,13474,25748,14695,14831,16784,16228,16919,10656,23812,23230,21507,17840,14557,-,18056,10593,10315
198703,15205,14468,17317,14234,25008,13703,15303,16672,15348,17235,10357,20776,27896,21492,17724,14516,-,17689,10790,10331
198704,15171,14571,17154,14325,25879,17902,15257,16361,15487,16713,10439,20446,24405,21724,18084,14616,-,17719,10607,10442
198705,15544,14909,17359,14705,25561,14027,15513,16797,15898,17011,10502,22373,24463,21294,18199,15174,-,19269,10719,10721
198706,15478,14713,17513,14529,25894,14000,15086,16988,15957,16732,10384,25111,26615,22682,18127,14643,-,17743,10557,10487
198707,16056,15170,17793,14719,50790,14732,15829,17844,16425,17298,10492,32047,26352,29139,19049,15043,-,19386,11990,11505
198708,15914,15019,18024,14754,26694,15105,15980,17703,16404,19629,10811,21836,25669,21350,19848,15956,-,19913,12211,11833
198709,16209,15216,17314,14947,27215,16885,16150,18156,16785,17606,10939,23605,28227,22907,22705,16456,-,20830,12546,11781
198710,16293,15392,17796,15165,26681,15349,16119,18044,16969,17733,11074,22726,28206,23032,20296,15847,-,20421,12565,11471
198711,15968,15170,17490,14925,27247,15162,15974,17501,16508,17554,10766,22829,25038,22084,20095,15861,-,20859,12142,11349
198712,17324,16062,20632,15798,30267,15233,16722,19735,18211,19190,11594,22238,34209,29524,24935,16364,-,20885,11963,11733
1988,18400,17284,19762,16989,34495,20688,17879,20441,19024,20174,12142,27544,32362,25923,22876,17197,-,22887,13207,12829
198801,18457,17655,20286,17508,42336,15772,16808,19985,18797,21648,12488,25242,27524,28965,23868,17210,-,22042,12534,12242
198802,25435,22730,19631,23006,28600,22541,20364,30498,29932,26874,16039,47763,45647,35148,33440,25502,-,34566,16839,19182
198803,16688,15822,18605,15516,31998,16053,16726,18300,16909,18566,11745,23591,27808,22739,20974,16526,-,20886,12067,12081
198804,16679,15926,17907,15654,27973,20868,16713,18070,16647,18487,11571,23427,27722,23567,20685,16355,-,20172,11634,11771
198805,16873,16178,18493,15910,26902,22910,16909,18146,16578,17914,11406,23031,29863,24051,20494,16278,-,20402,11702,11974
198806,17392,16440,19072,16147,32056,19716,17113,19132,17112,19010,11632,25901,31081,23730,23694,16378,-,23016,12118,12277
198807,18044,16644,19266,16029,54579,23555,18042,20656,20073,18967,11702,34749,31030,26320,21148,16299,-,21585,12767,12063
198808,17629,16645,19123,16322,29356,21225,17805,19432,17661,20998,11824,24357,31333,24264,20903,16681,-,21694,12981,12095
198809,18339,17163,19182,16843,30141,21192,18281,20451,18374,19682,12001,27897,36009,25564,22478,16370,-,23325,13840,12796
198810,17896,16971,19797,16634,29612,21126,18154,19543,18165,19523,11677,24609,30475,25288,21451,16386,-,22735,13912,12314
198811,17933,17173,20611,16816,29621,21425,18468,19276,18024,19211,11787,24457,29196,25154,21704,16298,-,21583,13530,12444
198812,19492,18085,25605,17530,50385,21659,19096,21958,20222,21248,12048,25833,40026,27425,24068,16519,-,22712,14570,12795
1989,21247,19919,21689,19431,42612,23022,21433,23439,21021,23369,13491,32564,39248,30359,26038,18896,-,25147,16153,14737
198901,28131,26086,24011,26458,36054,24550,22806,31679,29287,29475,18253,54358,47904,42875,37520,24853,-,34338,22042,17766
198902,23887,22607,21695,21796,63414,24050,25453,26071,24744,26755,16522,32782,38500,31592,27504,19802,-,28363,21186,16405
198903,18919,18067,20479,17712,32931,21469,19189,20358,18384,20838,12231,25938,34480,25337,22276,16480,-,21487,13939,12604
198904,18907,18032,19849,17694,31816,23389,19052,20375,18664,19975,12349,25514,33597,25505,22941,16526,-,22512,14041,12644
198905,19462,18494,20001,18112,36081,21629,19631,21073,18550,21293,12316,27011,37752,26635,23496,16833,-,22823,13983,12683
198906,19714,18565,20364,18144,34303,24865,19940,21608,18515,21174,12091,25214,43918,26248,24147,16986,-,22799,14378,12682
198907,20249,18785,23625,18252,35506,21927,20993,22702,20422,21651,13033,38303,36231,35379,25069,17675,-,23671,15080,14891
198908,20445,19130,21380,18588,36594,22050,21474,22619,20293,23861,13025,27934,38448,27614,24398,17545,-,24151,14901,15245
198909,21014,19271,21210,18762,37031,22545,21264,23827,21451,23100,13232,31384,42576,27912,25074,18698,-,24576,15827,15677
198910,20787,19612,21385,18676,74805,23122,21697,22667,20378,21837,12994,28235,38164,28024,25156,19104,-,26000,15804,15086
198911,20785,19344,22915,18664,37555,23256,22279,23074,20229,22006,12773,44398,35595,27936,25090,19046,-,25978,16226,15280
198912,22616,20911,23511,20135,54968,23438,23361,25300,21517,28469,13223,29709,43682,38987,29862,23032,-,25060,16633,15791
1990,24315,22686,26522,22014,47466,28249,24719,26751,24692,26376,15448,36866,39061,33984,30982,22457,-,29158,17888,16902
199001,42943,38241,44797,38188,71781,41991,35574,50243,49330,43052,27758,71409,75423,55734,57335,46506,-,48168,31848,29457
199002,21728,19802,22030,18851,67296,35257,21705,24685,21170,26651,13926,47805,36327,28139,26738,19879,-,27806,15901,15054
199003,21470,20218,22549,19646,38574,24652,22302,23368,21697,22465,13675,30103,35861,28354,25883,19671,-,25323,16306,15123
199004,21553,20389,22609,19766,38619,26133,22699,23307,21237,22668,13687,28829,36334,30429,26153,19820,-,25964,16187,15081
199005,22119,20973,22050,20420,39695,25331,22870,23829,21590,23336,13959,30197,37008,29412,27029,21304,-,26376,16767,15451
199006,22063,20567,22545,20017,38342,25200,22431,24293,22143,22656,13555,30021,38879,42809,26510,19869,-,26251,16740,15193
199007,22780,21460,26273,20823,38458,26525,23895,24770,22890,24969,14638,41546,33409,29343,27816,19600,-,27149,17388,15859
199008,22611,21437,24349,20781,38311,26772,24037,24355,22602,26523,14355,32538,32253,29763,28215,19972,-,27526,16031,16220
199009,23116,21847,24498,21056,48737,27718,24479,24983,22768,26549,14564,34121,33704,31126,30883,21017,-,28269,16969,16412
199010,23231,22001,25448,21224,42526,26772,24986,25031,23219,25051,14999,31900,35173,33291,29243,21189,-,27618,17194,16360
199011,22904,21847,26128,20972,42673,26516,25328,24447,22677,24801,14857,31884,33062,31935,28655,20672,-,28295,16334,16158
199012,25066,23070,34432,21973,64352,26417,26136,27983,25056,27943,15053,32882,43193,38050,37857,21623,-,31158,17645,16457
1991,26875,25362,28671,24430,58395,29916,28193,29032,26435,29898,17049,41579,41031,39214,33345,23702,-,32366,18235,18631
199101,28874,27498,31192,26557,77498,28791,29365,30865,28163,32591,17864,38211,42195,33105,44426,26018,-,33582,22467,18204
199102,42399,38983,34200,38208,72087,57815,40561,47319,42512,45681,29549,99142,66671,59520,45288,34356,-,52193,26635,27030
199103,23854,22292,26816,21426,44404,27869,25498,26106,23663,30154,15082,33948,34860,36862,29209,22689,-,29197,16236,16825
199104,23829,22700,33583,21793,43240,27363,26003,25449,23581,25850,15073,33109,35560,32661,29613,21435,-,28677,15966,16739
199105,24988,24056,27242,22291,121352,27161,27221,26321,23956,26419,15032,32529,38954,33264,32016,22369,-,30475,16149,16969
199106,24924,23419,27211,22669,43793,27469,26072,27079,24135,26797,15528,34573,41118,35437,31650,22127,-,34298,16891,17330
199107,25527,23961,28342,23239,44228,27676,26557,27813,24959,26412,15828,55941,36862,49937,30054,22570,-,29486,16676,17798
199108,24893,23686,25491,22859,42730,27506,27023,26636,23955,30375,15816,37368,36038,32171,29658,22405,-,30102,17704,18012
199109,25541,24208,26704,23453,43199,27378,27045,27434,24955,29877,16128,35079,38411,34307,31725,22999,-,30338,17696,19149
199110,25113,24153,26731,23207,51127,27591,27499,26462,24009,27320,16290,33144,38399,34434,31076,22514,-,29375,17810,18153
199111,24901,24036,26870,23080,45220,27519,27759,26102,23921,27356,16032,33389,35759,34220,30583,22618,-,30036,17293,18285
199112,27847,25483,29402,24423,71791,26580,28151,31102,29620,30132,16406,33988,47247,54332,35256,23143,-,31458,18259,19085
1992,29436,27937,31937,26942,60937,31017,30825,31437,28152,32272,18209,44519,46380,39911,37285,25708,-,35670,20463,21485
199201,48797,45171,53220,44772,87172,47562,44169,53765,47683,41452,28161,99277,84648,70301,73905,43397,-,62314,32806,31283
199202,31210,29280,29865,28325,86252,38460,30325,33840,29829,41313,21098,45599,45732,40094,40381,30998,-,34108,21271,25231
199203,26301,24879,26902,23977,47096,26245,28221,28244,25413,32551,16577,36649,38553,37255,32860,22580,-,32221,17991,19160
199204,25954,24933,26831,24136,46427,28780,27580,27341,25202,28643,16949,34183,36978,37192,31509,22558,-,31792,18023,19383
199205,27240,26523,27514,25225,106298,26981,28204,28208,25295,28541,16992,36127,42222,37639,33148,23301,-,31980,18574,20144
199206,26842,25409,29191,24528,46265,26990,28513,28768,25579,28752,16432,36315,45949,36887,33612,22738,-,33667,18786,19515
199207,27441,25932,29685,25079,45115,29405,28977,29481,26827,28875,17055,58544,39421,37139,31861,23759,-,31344,19229,20203
199208,27460,25954,27462,24839,45041,31189,30395,29464,25145,36504,16861,39466,43471,35552,35104,23750,-,33363,19628,20134
199209,27474,26001,28394,24931,44751,28686,30207,29408,26665,30448,16987,38174,42466,37397,33866,23969,-,35157,20549,20722
199210,27217,26185,37186,25117,44631,30623,29947,28561,25947,28938,16988,36468,42462,36160,31723,23393,-,33883,19447,20231
199211,27133,26326,31037,25033,57818,28565,30715,28177,25373,28887,17005,36554,41200,35567,31879,23599,-,33974,19861,20428
199212,30381,28680,35795,27216,75008,28635,32958,32572,29366,32534,17804,37917,53894,42612,39015,25445,-,34823,19940,21166
1993,31689,30043,32875,28826,64897,33927,33638,33752,30548,34769,18950,48782,50034,42402,39900,27785,-,37176,21124,22150
199301,58781,53875,57128,53094,93708,44585,55683,65049,59347,61802,30805,122977,96016,79716,79182,53804,-,69611,35096,35666
199302,28351,26623,28995,25509,49211,30572,30570,30554,25942,35514,18056,41325,44278,38241,41786,26219,-,35416,18951,20720
199303,27927,26818,29123,25649,49042,41124,30552,29329,26451,29299,17393,39487,44444,37808,33493,23949,-,33590,18990,20778
199304,27958,26992,29802,25841,49215,32217,31008,29174,26135,29463,17504,37327,44568,38056,33586,24090,-,33715,19975,20619
199305,28905,28057,30669,26563,89980,31842,31350,29963,27475,30677,17490,37649,43965,38793,35509,24978,-,32532,19763,20610
