年月別_Year_and_onth,工業及服務業__Industry_and_services,工業_Industrial,礦業及土石採取業_Mining_and_quarrying,製造業_Manufacturing,電力及燃氣供應業_Electricity_and_gas_supply,用水供應及污染整治業_Water_supply_and_remediation_activities,營建工程業_Construction,服務業_Services,批發及零售業_Wholesale_and_retail_trade,運輸及倉儲業_Transportation_and_storage,住宿及餐飲業_Accommodation_and_food_service_activities,出版_影音製作_傳播及資通訊服務業_Information_and_communication,金融及保險業_Financial_and_insurance_activities,不動產業_Real_estate_activities,專業科學及技術服務業_Professional_scientific_and_technical_activities,支援服務業_Support_service_activities,教育業_Education,醫療保健_Human_health_activities,藝術_娛樂及休閒服務業_Arts_entertainment_and_recreation,其他服務業_Other_service_activities
200703,39627,38732,42471,38367,71367,38660,38722,40402,36387,46082,24636,53435,57597,34978,45358,32681,-,52078,29785,28509
200704,39466,38410,42579,38095,73797,37773,37947,40380,35750,43937,23580,51395,63485,33929,45748,32129,-,52500,29689,27945
200705,40518,39333,42250,38467,107789,43391,39736,41542,35800,43738,23793,51277,73067,34541,47823,32208,-,52573,29783,27990
200706,40852,40055,43567,39884,76078,38892,38726,41541,37144,43155,23932,53300,66145,34332,49490,32608,-,52169,29622,28432
200707,41544,40176,59349,40053,71793,41888,38533,42721,36162,66048,24776,52767,66401,33038,49863,31668,-,51888,29198,27769
200708,41493,40792,48853,40401,108305,47922,38235,42095,35933,44389,24381,59708,73813,33514,47687,31832,-,53155,29562,28156
200709,42695,40710,44181,40689,71092,47002,38451,44407,37790,43984,24455,75531,78818,35930,50036,32305,-,53304,30197,28129
200710,39756,39137,42370,38993,69884,41069,37882,40291,35994,43400,24150,52412,60221,36046,47031,31802,-,52576,31034,28720
200711,39618,38877,41835,38685,70956,38080,37989,40257,36142,43664,24568,51975,60682,34718,47047,31692,-,51605,29104,27592
200712,43982,42888,71107,41211,210375,37544,42245,44925,39262,48993,25121,56629,71505,36520,63850,32749,-,55991,30429,33021
2008,44418,43384,51333,43297,89432,44521,40754,45296,39956,49585,26699,63777,71520,40340,54169,32916,-,58134,31931,29314
200801,65800,66005,75724,67603,144705,66452,51218,65625,54773,66100,30697,101702,130717,52044,78221,36907,-,87612,43176,33137
200802,59666,56990,55051,58345,110750,52778,45543,61951,55143,55266,36262,93785,118585,58172,67546,38756,-,68221,37509,35615
200803,40313,38972,43201,38687,72060,37535,38586,41462,36557,52422,24929,55392,60276,36589,48016,32552,-,52384,30238,28055
200804,40236,39185,43503,38987,73120,38704,38160,41135,36717,43782,24686,52464,64584,37487,48033,32269,-,51830,30254,28084
200805,40603,40389,44403,39881,99854,37952,39700,40786,36652,44861,24759,53140,59072,36876,48753,31859,-,54027,30694,28487
200806,41230,40218,43822,39988,74883,37335,39495,42091,37907,44534,24944,56543,65138,37327,49620,31943,-,53722,30111,27808
200807,42742,41195,45264,41216,70482,47652,38767,44053,37359,69233,25181,61004,63140,38264,53954,31732,-,56261,30090,28064
200808,41467,41077,68402,40643,96751,45308,39503,41798,36448,44524,25347,71655,61511,37548,47825,31762,-,54768,30859,28246
200809,41376,40873,42396,40758,71826,46075,39224,41801,37668,43285,25753,56357,61778,38643,52268,32152,-,53495,29670,28995
200810,39596,38724,44892,38250,68841,39100,39477,40332,36622,43491,25424,52349,56435,35730,47341,31443,-,55063,30726,28284
200811,38194,36659,61256,35940,72024,37762,38190,39483,35962,42329,25016,52170,54073,35631,45876,30655,-,54313,30343,28061
200812,41912,40199,47522,39038,117697,47856,41237,43341,37612,45065,27726,59382,61928,40231,63298,33575,-,56705,29797,28753
2009,42299,40338,49448,39525,96285,44042,40870,43867,40081,47911,27106,61888,67713,39032,49426,31249,22197,57858,31242,29738
200901,68190,64503,87923,64927,143726,80876,55421,71167,62816,74454,42163,102466,137716,57835,71801,38443,26857,97163,41861,44336
200902,41207,36917,42768,35141,143444,37520,39855,44657,42441,45922,26615,76156,64000,34755,50440,31421,21538,54542,29260,28578
200903,38646,35670,42482,34621,73057,37581,38992,41031,38359,41972,25189,52131,62055,35344,47785,30766,21779,54096,29564,28181
200904,38988,36606,42354,35794,69591,37723,38895,40895,36807,43157,25162,53556,63525,36379,46761,30850,21995,56817,29428,28248
200905,39816,38009,45943,37026,89861,38421,39973,41263,38429,43344,25647,56356,59820,37578,47059,31244,21703,54383,30263,29511
200906,38306,36898,42958,36121,70252,37695,38947,39432,36191,42257,25219,51306,57506,37142,45454,30230,21631,52976,29612,28140
200907,39758,38705,44773,38273,72484,37469,38899,40600,36482,41830,25363,62101,60139,38390,48258,30026,21992,54588,29703,28230
200908,39638,37581,64114,36865,69569,48885,38512,41279,37742,42850,25794,72714,57623,36552,47100,30039,21623,53547,30577,28314
200909,40682,38966,43635,38484,70914,41187,39360,42051,37899,58683,25378,52871,61018,38147,46991,30820,21868,55239,30744,28261
200910,39972,38810,42392,37837,98858,38092,40289,40897,37580,42206,25344,54527,63720,37899,46613,30562,21642,53559,31053,28453
200911,39196,37872,42561,37209,68772,38550,39464,40249,36804,52106,25008,51753,56822,37384,46427,29983,21753,52567,29815,27980
200912,42972,43133,49342,41557,184921,54328,41858,42843,39095,45924,28342,56868,67296,41068,49048,30995,21922,55253,32818,28540
2010,44646,43465,52551,43152,96523,45106,41598,45600,41766,49012,27788,64266,74219,42093,52141,32064,22459,57897,32687,30832
201001,54041,54661,88458,55301,132438,59498,45256,53547,48313,54078,32600,64805,99960,57051,62597,33230,22048,68914,35972,32567
201002,67524,63119,64191,63979,116995,69207,54221,71033,65937,63799,36993,119061,143057,61196,72279,38091,27533,80983,45033,46749
201003,40904,38872,42406,38379,71781,42141,39281,42538,41199,45257,25441,54506,62809,36583,47379,31800,22969,53611,30847,27962
201004,40427,38835,42682,38432,72285,37598,38943,41710,38232,43263,25488,55357,67060,37743,47400,31488,22122,54405,31459,28137
201005,41310,39471,42671,38747,97755,37705,39842,42797,38839,42931,25357,80101,64856,37280,47121,31240,22037,54291,31175,28791
201006,41787,41069,43797,40885,74474,38581,40050,42369,37781,43538,25825,56683,70675,42488,52402,31423,22110,54570,31195,28447
201007,41748,42247,43251,41018,173716,38650,40942,41342,38001,43386,26181,64347,59043,38541,49470,31004,22004,53682,31255,29563
201008,40602,40195,70197,39966,72147,41431,39072,40933,38201,43441,26442,52769,59722,36656,47935,30944,21569,54738,30427,29792
201009,43306,41313,43545,41154,72568,40553,40222,44923,39806,69746,26247,58062,70170,39253,48602,30762,21836,56804,31779,30118
201010,40267,39675,42491,39341,70100,43609,39362,40748,37616,43393,26122,53457,60721,38157,47881,30855,21591,53731,31015,29349
201011,39857,39249,63731,38577,84799,44611,39624,40350,37093,42804,25838,53412,60502,39463,46022,30921,21599,53543,30910,28937
201012,44655,43729,42756,43011,119369,48224,42761,45406,40628,52435,31104,59283,72107,42278,57474,33176,22178,55852,31280,29474
2011,45961,44824,53978,44603,95382,45828,42716,46881,42562,50333,29715,66291,76920,43783,54097,32855,22416,59900,33236,32526
201101,83406,78402,101777,79609,143294,83270,66816,87453,78453,82930,46100,134339,195495,96716,91532,40721,26660,99532,46982,51292
201102,46182,47382,67020,48142,78012,40923,41197,45210,42111,49989,32125,58031,64294,42647,53630,32808,22913,58533,35961,32574
201103,41097,39346,43092,38972,71669,37665,39516,42522,39862,43175,26573,54155,67770,41554,47157,31779,21661,54303,31953,29373
201104,40994,39323,43835,39018,73968,37693,38929,42355,38248,42926,26439,62297,68656,38554,48494,31924,21575,54759,30674,29694
201105,42357,41549,63709,40769,127261,38171,40584,43015,38698,46321,26429,77999,62773,37569,47488,31931,21520,56707,30622,30282
201106,41992,40655,44110,40392,73300,37694,40245,43080,38834,43948,26570,57731,69561,38496,55318,31793,21415,56206,31779,31291
201107,42878,42548,43818,42666,74339,43672,39743,43147,38388,58026,27654,67342,63088,36557,49033,31686,21779,53973,31401,30103
201108,42696,43381,63879,42649,148989,37794,41036,42142,38588,44802,28180,54200,63913,36323,50929,31979,21993,56051,31895,30006
201109,43571,42224,47271,41945,72499,55972,41042,44656,39283,55724,27619,60076,71277,37594,50653,32257,22627,62141,32315,31512
201110,40889,40030,43214,39453,90684,38586,40173,41581,38551,43166,27523,53607,63424,37242,47521,31800,21915,54752,31851,30422
201111,40122,39184,43123,38603,71885,48640,39852,40874,37755,43722,27274,54072,59379,36474,47700,32172,21903,54205,31392,29941
201112,45947,44430,43856,43719,118529,49091,43504,47162,42453,49299,34432,62850,74443,47904,60346,33546,23078,58017,32401,33930
2012,46109,45309,52752,45238,92871,43675,42683,46747,41815,50364,30072,66962,77957,41546,54950,33436,22773,60261,35446,32601
201201,84305,83527,106520,85642,186726,81151,64443,84926,74666,82324,48180,137932,187661,65315,96137,42727,30254,98809,54735,47464
201202,42445,41768,43749,41114,73258,39112,43697,42986,39372,46595,30318,55033,66915,38908,50462,32266,21786,54396,32843,30125
201203,41583,39895,43794,39396,76031,37202,40593,42933,38417,44112,28186,54387,72695,36895,52333,32878,22007,55472,32198,30370
201204,41711,39818,43725,39495,72227,37414,39728,43225,37985,43348,27799,62817,75735,37309,49311,32676,22432,55931,32653,31342
201205,42150,40610,43358,39919,109065,37349,40409,43379,38861,45892,27651,76140,65189,38463,48566,32592,21988,55777,32558,34045
201206,43138,42566,44753,42694,75806,39163,39854,43595,38593,45243,27876,58675,71732,38489,55645,32900,22060,57927,32790,31009
201207,42646,41352,44143,41366,73740,40735,39206,43680,38163,58305,28492,69635,64601,39954,49778,32692,22044,55533,33052,30691
201208,42014,41655,74011,41569,75863,46861,39364,42301,38480,44599,27857,54729,66500,39819,50018,32008,22104,56222,33911,29939
201209,44251,45761,50971,45862,110753,44707,41021,43050,38670,44690,28005,59764,65629,41329,50624,32819,22446,60127,34794,30780
201210,41159,40531,44985,40345,72236,37790,39715,41659,37439,52652,27641,54337,60153,39270,48238,32130,22204,55764,33677,29955
201211,40244,39664,44659,39343,70979,37511,39587,40704,37123,44205,27404,54695,58942,37719,47795,32010,22109,54970,33337,30029
201212,47975,46827,47425,46420,117397,45777,44690,48884,44219,52494,31916,67057,79508,45381,60645,33670,21750,62498,38838,35757
2013,46174,45434,54871,45448,88934,44143,42540,46756,42249,50021,30459,65547,77864,42165,53835,33662,22923,59908,36070,33020
201301,60705,60700,100567,61143,138765,56920,52963,60709,54711,66318,34166,80057,111468,54544,70779,37193,23986,84448,42886,35118
201302,62943,60173,56621,61417,76180,65553,51584,65126,59900,57355,40677,105172,139587,63203,65649,38380,25480,62820,47489,42486
201303,41823,40618,45267,40293,72066,37292,40620,42773,39205,47490,28710,55245,65363,36968,49221,32968,21548,56519,35285,29942
201304,42137,40763,45580,40518,74855,37574,40126,43218,38150,44359,28111,64849,73334,37922,48706,32852,22131,56105,34790,30056
201305,42627,41290,44943,41081,73192,37534,40622,43680,38555,45855,28337,66676,73739,38238,49101,32869,22345,56056,35298,30838
201306,43104,42503,48620,42463,74833,37851,40877,43578,39118,44869,30038,59627,66866,38621,51241,33746,22457,60553,34691,31187
201307,43499,42469,45143,42479,73761,38315,40615,44311,40557,55254,28634,67341,63541,39731,50523,32668,23187,56240,33781,30962
201308,42791,43242,44455,43565,74174,38867,39627,42436,38609,45251,29355,56287,63830,39573,51182,32471,22630,56141,33024,31107
201309,43623,43677,45390,43700,74161,44731,41501,43580,38927,46216,29574,60428,69750,40368,49896,32988,22590,58079,34026,33061
201310,42458,42201,64251,42267,73152,44251,39532,42659,38247,54917,28856,55367,63803,38027,48947,32316,22956,55657,34506,30967
201311,41838,42077,71295,40965,148981,50965,40909,41651,38123,44069,28774,55682,61064,38874,47843,32466,22821,56481,33806,31164
201312,46832,45704,45787,45720,113709,40566,41629,47716,43001,48492,30635,60927,81806,41080,63236,33190,22937,60202,34074,39525
2014,47832,46903,54093,47018,94111,44919,43251,48558,44377,50291,31676,66386,83085,44786,55491,34689,24226,61298,35829,34491
201401,89138,83258,116980,85023,150657,82155,68493,93734,88971,80148,49155,141147,207695,95381,100385,45692,31141,101976,53938,56301
201402,42260,41703,45485,41997,72426,38116,38196,42696,38277,45128,32320,55807,66091,39091,48200,33137,23001,57088,34765,30102
201403,43150,40988,46002,40756,74653,41023,40153,44841,41970,46193,30357,56058,74127,38221,48739,33326,23072,57393,34806,31540
201404,42810,41235,45758,41167,73037,38395,39756,44043,39093,46058,30020,64483,73917,39235,50285,33233,22953,56438,33844,30468
201405,45049,44341,46659,44548,75110,44407,41132,45602,39902,45446,30015,70367,81433,38955,50815,33811,23048,58629,34321,34219
201406,43036,42080,45046,41982,72641,38496,40868,43784,40117,43938,30133,54877,70936,39897,50165,33862,23330,58100,33165,32116
201407,46470,47176,47766,47978,75568,37639,41177,45917,42066,57302,29298,66950,73183,39099,50082,33544,23452,56337,34018,31123
201408,45093,46843,46529,46458,155691,39348,42546,43727,39699,47601,29665,56545,67758,40501,52463,33849,23692,57798,34386,31393
201409,44915,44456,46789,43823,120414,60163,42267,45274,40355,53519,30169,58906,74298,44002,51402,34631,23997,57911,34487,31915
201410,42696,42584,71111,42530,71292,37771,41124,42783,38806,44022,29204,55507,67916,39283,49556,33528,23474,57107,34246,31811
201411,42907,43142,45764,43356,71567,38199,40338,42724,39070,44032,29399,55834,65791,41476,49080,33248,23262,57064,33850,31805
201412,46905,45361,45962,45031,116439,43636,42912,48106,44473,50427,30899,61205,74151,44185,65106,34669,26229,60213,34188,41514
2015,49024,48373,57198,48713,96595,44357,43346,49526,45422,51579,32508,66595,84742,44075,56132,35451,24304,64100,36184,33901
201501,52603,51434,99258,51897,125079,44803,43879,53510,48705,55081,35795,67206,97858,47009,62811,35826,25185,68630,35983,35846
201502,87499,84384,77556,87441,91469,71580,66459,89909,88492,73392,50836,130694,192293,77565,87685,46409,29930,104125,53567,51171
201503,43470,42107,45492,42036,73110,39875,40616,44527,40612,49258,30526,57543,68538,43514,51417,33609,23631,59175,34328,32239
201504,43806,42438,45403,42560,72823,43609,39598,44865,38989,45180,29923,62871,83606,40075,50329,33813,23166,57428,34620,31916
201505,44354,43307,45000,43625,75676,37555,39638,45164,40185,45847,30343,66295,76146,41730,50991,33775,23418,59400,34155,33166
201506,45138,44121,46347,44338,75420,38231,41133,45925,41466,45694,30178,60162,78053,43733,52139,35812,23674,61149,34279,31845
201507,47580,50090,45498,51467,75888,38160,40958,45643,41573,56997,30191,67052,66624,38954,51886,34296,23446,59927,34463,30824
201508,45412,46767,97669,45688,194678,62850,41878,44370,41375,47329,30070,56014,67053,38079,52958,34261,23350,59241,34489,30804
201509,45305,44700,46954,45033,71263,38527,41331,45769,40959,54308,30507,59979,73081,40209,53211,34702,24081,61123,34930,31183
201510,43348,42847,45594,42341,118884,37654,41141,43732,39578,44690,30137,56183,71474,38265,49895,34270,23555,59052,34708,30477
201511,42994,42703,45724,42789,70911,37562,40644,43216,39459,44822,29553,55548,67351,39454,49835,33952,23426,58684,34172,31109
201512,47195,45833,45518,45582,112799,42347,43144,48234,43888,56647,32497,61398,75513,41201,60921,34929,24808,61911,34969,36553
2016,49266,48654,55425,49162,94453,43216,42839,49730,45345,52540,32498,67749,85452,42897,56427,35855,24876,65236,36821,33497
201601,76105,75181,101174,77862,130941,55817,56550,76809,69274,77866,42469,121613,148216,64243,87125,44368,30376,105514,51235,45303
201602,59986,57674,55257,58808,80663,53861,49605,61744,57564,55469,40619,73152,133584,49494,67440,38609,26679,72199,39955,36700
201603,44276,42361,46971,42398,72372,37206,40452,45734,42908,47771,30702,57056,75065,39477,50970,34501,23553,59209,34894,30961
201604,43998,42377,45947,42356,73766,43107,40352,45229,39932,46291,30284,63912,79963,37063,52174,34250,23690,59361,35073,30942
201605,46347,45848,93119,44882,192403,38757,41970,46726,40210,46430,30151,72761,87668,39885,53008,34557,23838,60275,35142,33068
201606,45546,45234,47640,44846,120387,51818,42028,45783,41660,47650,30606,59940,74979,42648,51716,34796,23897,61895,34689,33300
201607,47336,48408,45678,49595,74612,37705,40253,46522,41322,65190,30008,70057,70225,39556,51575,34378,23800,60012,34785,31230
201608,46124,46712,45337,47554,69564,42605,40391,45678,42023,48954,30457,57746,76253,40612,52015,34488,24058,59658,35190,30675
201609,45770,45440,45644,45847,71363,38252,41705,46020,42139,46817,30844,61270,75059,41198,52624,34712,24270,62230,35096,31684
201610,43525,43260,45611,43656,67643,38397,39529,43724,40644,45492,30780,57164,62434,39405,51477,34603,24423,59868,35284,31382
201611,44281,44467,46302,44991,70456,43352,39613,44140,41317,45888,30742,58278,64698,39357,49937,34499,24156,59632,35252,31718
201612,48122,47008,46227,47279,111035,38198,41640,48964,45206,56640,32695,61234,77681,42018,57569,36588,25725,63382,35747,35321
2017,50480,49907,55098,50678,94730,44286,42506,50912,47260,53314,33406,69196,86425,44893,57585,36178,25288,65681,37535,33860
201701,93971,91324,98486,95165,139849,73252,65957,95962,90346,84364,55164,137723,221513,72260,104045,47335,32853,112707,54827,51998
201702,46137,44792,53508,45491,70023,38466,39205,47152,43930,48880,30899,64797,71197,43144,54762,35024,23614,65563,36638,32142
201703,44583,43307,46310,43655,72322,37938,39580,45546,41515,48374,31241,59701,73328,40050,50923,35059,24199,61632,35119,32089
201704,44819,43215,45017,43584,71726,38449,39353,46029,41560,46426,31556,67023,76100,39506,51287,35299,24341,60575,35816,32442
201705,49443,50023,88810,49855,191240,43225,41548,49005,44493,48290,31819,71285,88137,43691,52553,35647,24257,62996,36333,34589
201706,45193,44054,54132,43556,119079,59435,40778,46052,42729,48314,30469,58419,75835,41489,50921,35531,24338,60811,35181,32405
201707,48688,51949,45826,53839,75895,38296,39708,46229,42930,47096,30513,69383,70690,40992,54356,34866,24674,60483,35800,31542
201708,46806,46904,45186,47553,72454,42535,41514,46731,42048,67010,30712,58917,71497,40742,52160,35227,24564,60850,35919,31667
201709,46366,45678,46232,46226,72224,41702,40800,46884,42945,47552,31364,62104,80263,42057,53442,34626,24906,61282,36032,31912
201710,45053,44748,44930,45337,70941,39350,39753,45283,42863,46255,32173,59287,65151,43255,52488,34926,24961,59522,36382,32005
201711,45579,46017,45234,46413,104175,38591,40186,45251,43299,47094,31269,59057,66434,39907,50881,34766,24776,59071,36112,31342
201712,49458,47193,45283,47837,76501,40345,41766,51158,48719,60202,33856,63091,77429,51866,63297,36003,26010,63476,36403,32221
2018,52407,52005,56288,52948,96054,45319,43645,52708,49798,54994,34077,69909,89215,47658,58773,37133,26033,67014,38742,34966
201801,59572,57804,94541,58250,127155,56280,50192,60898,61783,59642,37351,76262,100755,51677,65849,38665,26768,78431,40440,37448
201802,87048,86325,60789,90530,88503,61183,62388,87591,79279,77435,48401,122749,216764,73347,90142,48409,32429,100073,52378,52997
201803,46578,44789,44928,45228,71655,38275,40756,47922,45610,50360,32527,61130,77165,42086,53082,35637,24649,60491,37141,32151
201804,46039,44442,45771,44945,74019,38120,39799,47239,43660,49050,32154,66062,76583,42558,53422,35263,24642,60251,37962,31991
201805,48139,47006,45872,47939,69097,43463,40029,48992,44664,48963,32400,68384,87490,42140,54157,35432,25006,62594,37367,34455
201806,48501,48526,100160,47670,194866,61249,42334,48483,45377,51302,33009,63674,75710,44448,54630,35971,25693,64382,37390,33140
201807,51710,56158,50544,58140,116748,38473,41108,48367,45554,48722,31924,70926,73691,45653,55903,35819,25664,62579,36868,32622
201808,49714,49756,46407,50689,86259,45587,41810,49683,46143,68110,32151,61179,79001,44263,53713,35844,25466,62604,36841,32194
201809,48102,47599,46916,48324,73889,42933,41647,48479,45631,48619,32017,63869,74701,45834,58110,36182,25851,64555,37237,32906
201810,45933,45322,46020,45832,71814,39864,40750,46390,44525,47573,32085,60345,65169,46441,52819,35581,25806,61518,37018,32086
201811,46937,47428,46818,47930,99998,38704,41375,46570,44573,48110,31942,60454,65843,45348,52447,35986,25280,62678,36857,32181
201812,50869,49155,46540,50167,77257,40054,41674,52151,50895,62194,32984,64345,77636,48338,61475,36982,25282,64601,37677,35380
2019?,53657,52865,57364,53776,96137,45830,44833,54245,51328,55588,34686,72144,93059,50431,61326,37616,26972,68517,39520,35594
201901,94136,90215,101422,92683,152107,81329,71436,97059,89624,84676,48046,144047,238717,87688,109144,47567,35708,112490,54814,47377
201902,54259,55563,53220,57167,74130,40876,45538,53287,50785,52040,37963,68154,82537,54060,58689,37997,25872,70642,40301,38969
201903,46432,43955,46471,44248,72893,37624,40640,48279,46377,50909,32777,61271,73739,42381,54204,36546,25370,62121,37165,32764
201904,47766,44530,46661,44831,74995,42296,40744,50177,45348,49266,32840,67897,95563,44257,56750,36312,25334,62081,37469,33013
201905,50299,49606,98050,49298,191242,38996,42035,50814,46818,50289,32544,66496,97288,43786,53849,36394,25465,63532,38308,34037
201906,48595,47412,47645,47883,75480,65512,41332,49475,47319,51834,33127,63884,76465,45595,55413,36806,25848,64127,38019,33918
201907,53133,57949,63250,60051,116506,39327,42491,49557,47124,49878,32559,72231,74906,48570,57216,36491,27083,63075,37634,33105
201908,50956,50514,46045,51930,74497,43924,40803,51283,47035,69589,32714,63075,84923,50130,56100,36607,26789,63819,37881,32977
201909,49325,49268,45986,50260,73709,38860,42341,49367,46808,49651,33201,65358,74150,46846,57813,36356,26107,66426,37583,33624
201910,46865,46094,46489,46679,71523,40943,41161,47435,44936,50241,33207,62955,67081,46135,54020,36376,25966,62791,38161,32873
201911,47930,48227,45964,48883,99306,39850,41392,47710,45593,49132,33023,62809,67545,46416,53856,36001,25882,64158,38172,33252
201912,54310,51048,45619,51327,77543,40835,48308,56714,58158,59545,34352,68782,84392,50571,69271,38027,28220,67515,38720,41007
2020?,57211,55823,64641,56744,105706,48276,47321,58244,54057,57908,35719,79803,108144,57803,65105,38216,27438,71511,41843,36621
202001,99084,96476,114636,99693,149046,77192,74644,101008,88083,87900,51062,148220,261651,110188,112032,47020,37477,120259,63953,50300
202002,49559,49681,45768,50605,71658,39038,43392,49469,46716,49286,34078,65312,76042,44653,55854,38438,25330,64199,37777,33442
202003,47884,45739,46247,45955,74587,38814,42939,49483,46852,50785,32489,65394,76272,49362,57473,36352,26193,62730,38091,33832
202004,48067,45289,46124,45650,72915,42390,41415,50147,46115,48636,32409,68916,90008,44717,55742,36261,25352,61920,37420,32975
202005,49559,47315,45816,48189,70829,38818,41052,51240,46558,48769,32543,71001,93344,54722,56009,36248,25674,63634,37924,34750
202006,50526,48549,46147,49143,77781,44318,43310,51998,50414,51314,32948,67394,83537,49649,57667,36980,26146,64478,38637,37038
202007,55505,57693,106416,57922,220749,57167,44658,53883,53450,68332,33196,72569,76207,51727,60701,36256,26032,63544,38320,33698
